 written on  9Dec2025 at 07:20:25 
  -1.9379489119000000        1.9379489119000000        6.4363736866999997     
   1.9379489119000000       -1.9379489119000000        6.4363736866999997     
   1.9379489119000000        1.9379489119000000       -6.4363736866999997     
           3
         733
    2    1    1    1    1    1    1    1    2    2    2    1    1    1    1
    1    1    1    1    1    1    1    1    1    1    1    1    2    2    2
    2    1    1    1    1    1    1    1    1    1    1    1    1    1    1
    1    1    1    1    1    1    1    1    1    1    1    1    1    1    2
    2    2    2    1    1    1    1    1    1    1    1    1    1    1    1
    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1
    1    2    1    1    1    1    1    1    1    1    1    1    1    1    1
    1    2    2    2    1    1    1    1    1    1    1    1    1    1    1
    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1
    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1
    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1
    2    2    2    2    1    1    1    1    1    1    1    1    1    1    1
    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1
    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1
    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1
    1    1    1    1    1    1    1    1    1    1    1    1    2    2    2
    2    1    1    1    1    1    1    1    1    1    1    1    1    1    1
    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1
    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1
    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1
    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1
    1    1    1    1    2    2    2    2    1    1    1    1    1    1    1
    1    1    1    1    1    1    1    1    1    2    1    1    1    1    1
    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1
    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1
    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1
    1    1    1    2    1    1    1    1    1    1    1    1    1    1    1
    1    1    1    1    1    2    2    2    2    1    1    1    1    1    1
    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1
    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1
    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1
    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1
    1    1    1    1    1    1    1    1    1    1    1    1    2    2    2
    2    1    1    1    1    1    1    1    1    1    1    1    1    1    1
    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1
    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1
    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1
    1    1    1    1    1    1    1    1    1    2    2    2    2    1    1
    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1
    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1
    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1
    1    1    1    1    1    1    1    1    1    2    2    2    1    1    1
    1    1    1    1    1    1    1    1    1    1    1    2    1    1    1
    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1
    1    1    1    1    1    1    1    1    1    1    2    2    2    2    1
    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1
    1    1    1    1    1    1    1    1    1    1    1    1    2    2    2
    2    1    1    1    1    1    1    1    1    1    1    1    1    1    1
    1    1    2    2    2    1    1    1    1    1    1    1    2

   -8    0   -6
    3    1   -0.62949227E-05 -0.11258761E-10
    1    2    0.10407762E-04 -0.14025343E-11
    2    2    0.24591708E-04 -0.24449288E-11
    3    2    0.73433649E-05 -0.11183773E-10
    1    3   -0.62949280E-05 -0.11996103E-10
    2    3    0.73433587E-05 -0.12558192E-10
    3    3   -0.17523026E-03  0.77397776E-11

   -6   -1   -7
    1    1    0.61900531E-05  0.13330816E-11
    2    1    0.67774130E-06  0.44858809E-11
    3    1   -0.51117761E-05  0.66340037E-11
    1    2    0.67774161E-06  0.58179628E-11
    2    2   -0.25589780E-04  0.51426498E-11
    3    2   -0.71079894E-05  0.13227765E-10
    1    3   -0.51117742E-05  0.42318288E-11
    2    3   -0.71079930E-05  0.14752552E-10
    3    3    0.37708591E-03  0.21609965E-10

   -6   -1   -6
    1    1   -0.55381900E-05 -0.14124439E-11
    2    1   -0.32442151E-05 -0.33729303E-11
    3    1   -0.20290837E-04 -0.63677501E-11
    1    2   -0.32442158E-05 -0.30682731E-11
    2    2   -0.21253394E-04 -0.30162131E-11
    3    2   -0.16145037E-05 -0.10232937E-10
    1    3   -0.20290838E-04 -0.75288289E-11
    2    3   -0.16145084E-05 -0.66739671E-11
    3    3   -0.22699613E-04  0.22889407E-11

   -6   -1   -5
    1    1    0.47143776E-06  0.57666545E-12
    2    1   -0.80032162E-07  0.38454583E-12
    3    1    0.28866100E-05  0.77609783E-11
    1    2   -0.80031577E-07  0.17458673E-11
    2    2    0.23170843E-04 -0.53720917E-13
    3    2    0.32443992E-05  0.74703118E-11
    1    3    0.28866170E-05  0.11959904E-10
    2    3    0.32444034E-05  0.13239333E-10
    3    3   -0.83732437E-04 -0.74729910E-11

   -6   -1   -4
    1    1   -0.12545337E-05 -0.16112788E-11
    2    1   -0.83702125E-06  0.11774653E-12
    3    1    0.53973433E-06 -0.68638225E-11
    1    2   -0.83702088E-06  0.88676650E-12
    2    2   -0.92682601E-05 -0.99884857E-12
    3    2   -0.89166253E-06  0.47526554E-11
    1    3    0.53973004E-06 -0.61760254E-11
    2    3   -0.89166526E-06 -0.34308198E-11
    3    3   -0.11628228E-03  0.35714747E-11

   -6    0   -6
    1    1   -0.38811176E-05 -0.32852193E-11
    2    1   -0.90622472E-05 -0.56980357E-11
    3    1    0.68145081E-06 -0.69385204E-11
    1    2   -0.90622454E-05 -0.74655441E-11
    2    2   -0.42713184E-04 -0.67261387E-11
    3    2   -0.35152534E-05 -0.19342197E-10
    1    3    0.68144924E-06 -0.10697636E-10
    2    3   -0.35152652E-05 -0.30014532E-10
    3    3    0.20469953E-03 -0.13189588E-10

   -6    0   -5
    1    1    0.65566838E-05  0.15951650E-11
    2    1    0.15578930E-05  0.18890786E-11
    3    1   -0.16085344E-04  0.70456986E-11
    1    2    0.15578944E-05  0.13136393E-11
    2    2   -0.26800261E-04  0.31210104E-12
    3    2    0.15512657E-04  0.66709608E-11
    1    3   -0.16085340E-04  0.11692852E-10
    2    3    0.15512657E-04  0.19778733E-11
    3    3   -0.95926794E-06  0.21361541E-11

   -6    0   -4
    1    1    0.29645777E-06  0.13081914E-11
    2    1   -0.10474135E-04  0.31393358E-12
    3    1   -0.60431545E-05  0.24413915E-11
    1    2   -0.10474135E-04  0.21829316E-12
    2    2    0.21724880E-04  0.21293835E-11
    3    2   -0.49889907E-05  0.35754180E-11
    1    3   -0.60431574E-05 -0.49769299E-11
    2    3   -0.49889881E-05 -0.41863993E-11
    3    3   -0.58021465E-04 -0.38206938E-12

   -6    0   -3
    1    1   -0.80057720E-05  0.42675932E-13
    2    1   -0.14647387E-05 -0.16924378E-11
    3    1    0.10488551E-05 -0.19165065E-11
    1    2   -0.14647395E-05 -0.17616637E-11
    2    2   -0.64329658E-05 -0.12257452E-11
    3    2   -0.32746547E-05 -0.99807857E-11
    1    3    0.10488587E-05 -0.44406387E-11
    2    3   -0.32746523E-05  0.68799066E-12
    3    3   -0.46655910E-05 -0.89972994E-11

   -6    1   -5
    1    1    0.73247948E-05  0.31241728E-11
    2    1   -0.41336442E-05  0.51611601E-11
    3    1   -0.29480894E-05  0.85972316E-12
    1    2   -0.41336449E-05  0.39695940E-11
    2    2   -0.18646340E-04  0.11979810E-11
    3    2    0.40132159E-05  0.85786524E-11
    1    3   -0.29480891E-05  0.92623115E-11
    2    3    0.40132254E-05  0.14612706E-10
    3    3    0.91829816E-04 -0.29909469E-11

   -6    1   -4
    1    1    0.35007617E-05 -0.13644012E-12
    2    1    0.88979962E-05  0.44757107E-12
    3    1   -0.94459843E-05  0.33576894E-12
    1    2    0.88979964E-05  0.16465065E-11
    2    2   -0.52465929E-05  0.17123824E-12
    3    2    0.61804572E-06 -0.16224368E-11
    1    3   -0.94459852E-05 -0.57323081E-11
    2    3    0.61805197E-06  0.16786831E-11
    3    3    0.99388095E-04 -0.10375785E-10

   -6    1   -3
    1    1    0.82836650E-06 -0.35305942E-11
    2    1   -0.27101382E-05 -0.21440204E-11
    3    1   -0.26166036E-05 -0.11671101E-10
    1    2   -0.27101382E-05 -0.19308789E-11
    2    2    0.11142948E-04 -0.27675830E-11
    3    2   -0.11472281E-04 -0.13235740E-10
    1    3   -0.26166079E-05 -0.27579657E-11
    2    3   -0.11472292E-04 -0.68140779E-11
    3    3   -0.90798597E-04 -0.34913999E-11

   -6    1   -2
    1    1    0.44752252E-05  0.12280402E-11
    2    1    0.37413602E-05  0.23881450E-11
    3    1    0.44537578E-06  0.58012949E-11
    1    2    0.37413600E-05  0.11800206E-11
    2    2   -0.12423909E-05  0.20795483E-11
    3    2    0.21846859E-05  0.87751468E-11
    1    3    0.44537051E-06  0.11666514E-10
    2    3    0.21846856E-05  0.41367541E-11
    3    3    0.10826081E-04  0.81330775E-12

   -6    2   -4
    1    1   -0.20275690E-04 -0.67827514E-12
    2    1   -0.29870141E-04  0.13801342E-12
    3    1    0.16710630E-05  0.87279492E-11
